1,2,3,4,5,6
3,7,9,21,22,33
4,13,18,22,28,34
1,6,12,17,22,26
11,18,19,25,35,37
1,13,20,25,31,33
11,12,26,34,36,37
3,10,13,17,33,37
4,9,17,26,27,37
6,7,17,28,33,36
8,15,20,24,25,33
5,8,14,15,18,25
6,9,13,20,26,36
8,14,20,23,24,28
7,13,15,16,20,31
3,7,11,17,19,31
12,13,19,21,35,36
6,9,10,11,18,29
16,17,19,29,34,37
3,16,19,22,25,26
1,3,4,13,23,28
1,10,18,25,31,36
15,21,23,27,36,37
8,11,13,18,25,31
1,3,7,9,15,22
7,8,25,31,32,35
3,5,8,18,19,29
2,12,14,18,22,25
3,5,16,18,21,26
6,16,23,24,30,33
9,20,25,27,34,37
16,18,20,22,24,25
8,9,13,14,27,29
2,7,9,19,24,25
4,8,13,20,27,29
6,7,11,17,22,29
11,17,19,25,27,28
4,16,23,29,35,36
7,20,21,25,35,37
8,13,14,27,30,37
1,5,15,17,23,37
6,16,21,27,28,29
1,3,13,17,21,32
7,14,18,27,34,37
4,12,21,24,35,37
1,8,15,16,20,31
6,13,22,25,29,37
7,11,18,20,21,22
2,12,16,17,28,36
4,8,13,18,21,32
7,8,11,20,30,37
4,6,20,23,28,34
1,4,7,8,12,16
7,9,12,16,27,33
9,18,24,28,30,36
1,4,27,34,36,37
10,13,18,26,31,33
1,5,11,12,22,27
1,3,18,20,23,37
7,13,16,18,19,28
4,5,8,25,26,33
2,6,17,22,30,33
9,16,22,23,25,28
2,9,11,16,23,35
2,14,25,26,32,33
6,9,26,29,36,37
2,9,15,26,29,35
3,11,13,25,28,35
13,19,21,27,29,32
11,22,27,32,34,36
2,7,8,9,10,15
8,11,22,29,30,32
7,13,15,19,28,36
5,7,11,12,28,34
2,9,11,13,19,28
1,3,29,30,32,37
2,9,13,17,21,26
19,26,30,31,33,35
5,7,11,14,23,36
8,10,18,23,29,30
5,9,10,12,34,35
8,10,14,17,25,34
1,3,11,15,26,32
1,8,19,22,34,35
9,20,22,23,27,32
12,13,16,20,21,32
18,21,23,25,27,34
1,13,26,31,34,37
7,10,21,27,33,36
2,4,10,14,23,28
6,10,18,23,33,36
4,8,11,29,34,35
2,14,18,23,30,32
10,12,22,23,30,37
4,6,9,12,32,36
4,6,7,10,11,18
5,11,16,18,23,26
13,15,26,27,29,37
6,7,12,22,23,28
2,10,11,22,28,33
5,11,12,18,28,35
1,7,11,22,24,34
1,23,26,31,33,37
3,10,11,20,24,30
1,2,3,13,22,30
2,9,17,23,27,31
2,5,8,20,22,28
5,6,11,13,21,30
7,8,10,19,27,37
22,24,28,29,30,33
3,25,26,30,31,34
9,11,15,22,28,32
4,11,13,24,25,34
1,2,3,10,16,37
5,10,12,19,20,25
2,6,9,13,35,37
5,6,10,12,18,26
1,3,5,17,18,26
2,5,11,12,15,33
4,5,11,16,18,20
17,19,20,27,29,33
5,13,15,23,28,35
2,6,17,21,30,35
5,21,22,25,32,36
9,16,22,26,28,37
7,13,16,17,29,34
3,6,11,16,26,34
3,12,15,20,23,26
7,11,23,30,32,34
6,11,13,29,32,34
2,6,12,18,26,28
1,3,12,23,28,31
4,6,7,10,20,28
3,6,17,18,34,36
6,7,8,17,18,29
3,18,19,29,36,37
7,9,25,30,31,36
3,9,11,12,28,35
3,6,10,11,26,29
2,10,15,17,25,33
10,18,27,30,32,37
6,7,18,21,26,33
15,20,27,28,29,37
4,8,13,17,28,33
6,10,14,20,31,37
6,16,21,25,32,33
1,6,8,17,19,24
16,22,27,29,33,36
20,23,27,28,30,34
1,8,10,12,29,34
1,6,23,33,34,36
6,8,24,28,30,35
3,6,9,14,16,35
1,6,7,12,34,35
23,25,28,30,31,34
2,3,12,22,25,27
15,20,24,25,29,30
8,15,21,23,29,37
6,18,26,31,34,37
12,18,20,23,25,37
4,5,11,27,32,37
2,4,12,28,30,32
1,2,15,28,29,32
3,10,18,20,24,33
5,16,20,24,29,34
6,8,11,23,25,32
2,4,5,9,12,27
9,20,21,24,25,37
5,6,9,11,15,23
7,12,15,18,23,28
13,20,25,28,29,30
3,6,13,15,28,31
1,8,14,21,25,31
1,3,22,26,29,36
5,10,15,22,25,33
12,13,25,27,31,33
5,8,10,26,29,35
6,17,28,30,32,33
6,8,12,14,28,34
20,22,29,31,32,33
13,17,26,31,35,37
4,7,11,12,15,37
6,9,21,31,34,35
4,10,17,23,28,37
1,5,26,31,34,35
12,14,19,27,31,34
6,7,11,12,23,30
7,10,14,17,27,29
3,10,20,22,33,37
3,5,8,11,22,33
9,18,22,24,27,34
11,21,22,24,26,30
4,8,15,24,36,37
19,20,21,24,34,35
8,9,14,22,32,33
2,3,8,11,26,29
2,9,17,19,34,35
4,7,10,20,22,26
6,12,23,25,26,35
4,19,22,28,31,33
3,5,10,13,26,27
8,18,21,22,26,33
10,11,14,17,19,26
1,9,14,15,19,25
10,13,15,22,32,33
2,8,17,20,27,31
1,3,8,10,11,31
8,13,27,28,30,36
3,20,24,27,32,37
5,6,18,19,21,36
1,7,11,15,20,30
2,7,11,23,25,29
5,6,7,16,17,33
19,21,24,25,30,36
4,8,11,13,24,32
9,20,27,28,30,34
2,8,10,16,18,27
3,6,12,25,28,36
4,7,10,22,27,36
7,11,18,21,25,29
5,6,7,24,27,32
4,5,16,24,33,34
6,14,15,18,22,36
13,15,21,23,30,36
14,15,16,24,32,36
3,8,10,11,26,36
3,10,13,18,25,26
3,11,22,24,33,36
13,20,26,30,31,34
11,13,18,20,25,29
10,11,17,19,26,30
3,8,9,12,27,33
5,7,13,15,18,23
1,6,18,24,28,35
3,27,28,30,31,35
6,8,14,19,20,37
16,18,19,30,31,32
12,15,17,18,22,26
5,12,16,22,27,31
4,22,24,25,26,29
1,6,11,14,17,27
5,8,11,16,22,29
10,13,16,17,26,34
8,9,12,13,29,34
3,9,14,15,21,22
5,7,10,15,26,37
14,15,19,31,34,35
5,6,9,17,24,31
1,3,6,27,29,33
11,13,27,30,32,34
8,10,12,24,25,29
5,8,21,28,31,35
1,3,4,10,16,17
1,2,10,12,26,29
4,12,16,28,29,31
8,9,15,21,26,29
2,5,9,13,26,29
6,16,20,25,26,27
1,8,20,25,33,37
1,12,13,29,32,36
2,3,5,8,23,29
13,16,19,22,25,31
2,11,21,22,26,32
2,14,16,18,32,37
4,11,12,26,28,29
3,9,13,16,22,34
12,18,20,21,29,35
4,16,21,23,24,27
4,16,19,25,29,37
1,6,12,14,36,37
4,5,9,12,16,29
9,20,22,23,24,29
3,8,17,20,22,30
1,9,10,21,24,32
9,11,14,16,27,37
14,20,23,25,26,35
5,11,18,20,30,35
9,15,17,25,27,32
5,9,19,21,22,34
11,14,22,26,27,33
1,10,11,12,18,19
5,7,10,13,24,33
7,13,14,28,29,35
1,4,16,26,28,37
3,11,12,15,21,26
12,13,15,20,21,32
4,6,18,26,29,34
3,4,5,27,30,36
1,2,32,34,36,37
1,3,15,27,31,35
6,8,9,14,16,17
1,25,34,35,36,37
7,26,28,30,31,34
2,12,20,28,30,33
10,13,16,24,27,37
1,9,15,20,23,28
5,10,13,17,25,36
4,6,15,24,31,37
6,14,18,26,29,36
1,2,5,16,24,34
7,12,18,22,32,36
3,7,10,21,33,35
11,12,18,19,32,37
2,12,21,23,28,31
7,11,19,25,28,37
12,14,16,29,32,37
5,6,9,12,26,34
1,20,23,24,26,32
8,9,21,22,26,37
5,8,17,31,32,37
1,5,7,18,25,36
4,6,14,22,28,29
8,12,15,24,28,33
3,5,6,13,26,29
2,4,14,19,20,33
13,17,20,26,35,37
5,6,10,20,26,29
1,9,20,25,27,31
5,22,25,33,35,36
2,6,8,14,29,34
12,13,20,25,27,30
2,5,6,14,22,32
3,7,12,22,27,36
7,13,19,32,35,37
2,7,10,18,24,26
5,8,11,20,29,36
4,8,16,20,21,36
3,15,26,28,32,33
1,10,11,13,18,25
6,10,14,15,26,36
9,16,22,27,31,32
6,9,17,26,27,36
7,15,17,18,20,32
1,5,14,21,27,30
5,19,23,25,30,31
1,2,7,8,9,26
7,15,17,19,27,30
3,18,19,22,24,26
6,10,25,31,35,37
2,5,21,29,34,37
8,14,16,20,24,30
2,13,14,19,21,30
2,10,14,15,21,29
1,4,11,19,30,32
1,13,19,22,34,35
8,9,11,12,13,22
17,18,25,28,30,34
5,16,18,23,24,26
6,19,24,25,26,37
1,8,13,27,32,37
1,4,5,16,21,29
3,12,14,24,32,34
3,15,17,20,21,37
1,13,15,30,31,32
4,7,13,16,17,27
14,21,27,31,32,35
2,11,13,17,25,27
1,11,13,25,27,29
3,6,9,10,17,36
4,9,10,12,13,29
6,10,15,18,27,34
4,17,18,23,25,28
2,9,18,23,29,33
7,19,27,29,34,35
6,8,21,25,30,35
7,9,14,21,26,34
3,5,6,19,23,35
10,17,18,22,24,29
3,4,10,11,30,32
18,19,29,34,35,36
10,12,19,25,26,36
14,20,22,26,31,37
2,20,26,27,28,30
9,13,15,20,25,36
1,6,9,10,12,17
2,3,13,21,22,31
1,6,15,17,20,32
5,6,16,17,20,22
2,8,12,14,17,21
9,17,23,28,30,36
12,15,18,20,23,29
5,6,8,11,20,27
5,12,13,33,35,36
1,8,11,23,30,35
11,14,18,20,22,33
6,9,15,23,24,28
19,21,22,24,30,37
5,6,10,15,28,29
10,18,22,27,31,35
5,7,8,15,19,26
1,8,11,17,25,30
16,17,18,20,28,35
4,7,12,14,17,34
3,7,14,24,27,28
5,8,16,21,34,35
2,6,17,29,31,35
13,21,22,26,29,34
5,7,9,17,19,29
24,27,30,34,35,37
7,9,16,23,29,30
16,21,27,28,32,37
2,3,11,18,25,27
2,16,21,26,33,34
5,15,22,23,25,29
1,6,9,13,23,35
2,14,22,23,25,28
11,13,20,29,30,37
2,6,13,16,27,33
8,11,18,21,24,30
3,5,7,13,17,28
17,18,20,21,26,32
3,4,14,18,32,35
3,8,10,12,28,37
4,6,8,18,27,37
4,17,18,24,27,36
6,8,11,23,32,35
2,5,10,12,18,26
4,11,18,22,29,31
15,18,22,23,26,34
6,8,18,22,29,37
1,13,23,24,30,31
5,16,22,23,24,33
6,10,12,15,27,33
1,3,8,12,19,30
6,9,18,23,26,33
1,15,17,31,32,34
1,11,13,15,18,25
11,12,18,24,31,33
1,2,4,9,12,16
2,9,11,13,29,33
11,12,15,22,23,29
7,32,33,34,35,36
5,13,16,18,23,26
5,13,21,22,25,28
2,3,5,10,26,27
11,15,17,27,33,37
11,15,22,29,35,37
14,15,18,22,23,29
6,10,15,19,36,37
3,14,15,19,26,33
2,10,11,13,22,37
11,13,22,29,31,33
10,16,22,30,35,36
4,14,16,22,28,33
3,13,14,18,28,30
8,11,13,20,22,25
1,6,10,22,24,26
8,12,17,21,27,30
8,12,21,24,25,27
1,10,16,28,29,32
4,6,13,19,33,35
4,11,19,28,31,34
11,24,30,34,35,37
1,7,11,17,36,37
4,8,17,20,25,30
3,8,10,15,30,33
4,13,22,25,28,30
9,20,22,23,29,31
1,2,5,12,34,35
4,5,18,20,28,36
7,9,20,24,28,35
6,12,25,27,30,37
9,12,25,29,34,36
2,9,27,29,32,36
5,7,10,15,22,35
3,20,28,31,33,37
1,2,9,11,15,21
2,10,14,17,28,34
2,9,13,16,28,29
4,6,10,11,14,25
1,3,29,30,33,35
4,8,9,23,25,31
3,11,18,25,33,36
7,16,18,21,23,36
2,19,28,29,34,36
1,2,5,15,27,31
12,15,20,30,33,37
2,5,6,10,19,29
5,7,9,11,24,29
9,10,11,12,21,32
5,10,17,23,32,36
2,6,11,16,27,34
8,10,15,23,26,34
1,9,10,21,26,37
8,13,17,18,34,36
13,17,19,26,30,36
7,9,10,34,35,36
7,19,20,25,31,34
3,8,11,19,26,35
1,4,12,18,31,37
2,12,14,27,29,32
3,15,24,25,26,35
6,10,18,27,35,36
2,9,28,31,32,35
2,7,10,23,26,35
5,15,20,25,27,32
4,16,30,32,34,36
2,5,7,16,22,37
3,15,21,28,30,32
4,11,13,20,32,35
5,9,21,23,28,33
6,13,14,21,23,26
3,5,8,16,17,20
2,3,28,30,33,35
2,10,12,23,30,33
4,11,27,32,34,37
7,14,20,27,29,31
4,11,12,13,20,27
2,5,18,19,20,31
1,10,17,21,22,31
5,13,17,26,29,33
1,2,6,19,29,33
7,8,15,30,33,34
8,11,22,33,34,35
7,8,15,18,29,34
13,15,24,25,30,32
6,8,9,25,29,37
4,9,10,14,19,35
11,17,19,31,36,37
5,11,12,13,15,22
3,4,6,18,26,29
5,10,19,25,32,35
2,6,12,26,30,35
1,3,11,16,20,35
3,11,17,20,31,32
1,2,3,4,7,25
6,8,9,17,29,30
20,22,28,31,35,36
3,5,9,14,22,23
2,4,13,16,29,34
1,3,5,16,26,30
2,3,20,31,35,37
4,9,23,28,34,36
11,16,19,24,27,35
10,21,28,30,31,35
2,12,18,28,33,34
15,17,23,25,30,35
4,13,24,25,32,34
3,6,16,28,32,33
3,4,23,26,31,35
4,9,12,14,17,29
7,17,24,29,36,37
1,3,6,9,34,37
17,21,23,24,26,35
3,6,17,23,27,32
4,8,9,22,29,33
5,6,11,21,22,28
3,8,23,26,28,29
3,7,14,21,27,37
1,6,10,16,21,22
2,5,18,20,23,29
16,22,26,29,36,37
1,2,4,28,29,31
1,5,12,22,24,27
20,24,26,28,32,33
13,15,26,28,29,36
18,22,30,34,35,37
1,11,15,16,23,32
2,8,10,13,35,37
1,3,4,22,28,36
12,13,18,31,32,36
7,9,13,18,21,22
7,9,10,22,24,33
4,14,16,21,33,36
9,18,25,30,33,37
5,20,21,26,30,35
13,15,17,24,26,27
5,11,25,26,29,36
1,8,12,19,26,27
1,3,11,13,21,28
2,10,16,26,27,30
11,21,29,33,35,37
11,14,19,21,26,33
1,9,17,29,30,37
4,6,10,17,28,32
7,19,22,28,30,33
14,22,24,33,35,36
3,4,24,27,31,36
1,10,12,19,35,36
2,8,12,19,26,27
1,7,10,21,28,30
1,2,7,12,29,33
11,17,21,23,26,27
6,13,15,22,23,37
5,8,10,20,34,37
3,8,16,19,25,27
3,7,13,17,18,28
2,4,12,27,34,37
10,11,19,21,23,29
3,9,14,20,34,35
11,21,22,23,28,37
3,8,17,19,24,33
17,20,26,28,30,33
1,3,4,6,12,13
3,13,24,27,33,35
2,6,16,28,35,37
8,14,27,29,33,37
7,12,16,22,24,25
4,16,17,19,30,34
6,10,11,15,19,24
8,13,16,17,29,37
5,9,17,19,33,35
1,5,14,19,26,28
1,3,18,19,35,37
2,3,4,27,30,32
5,8,9,17,24,32
13,14,26,29,31,35
8,9,11,16,31,34
8,13,23,26,27,29
3,7,8,24,34,36
4,11,12,15,30,33
12,18,19,28,29,34
7,16,19,21,31,36
4,19,27,30,31,35
4,10,15,24,28,29
8,10,17,18,35,37
4,21,22,23,27,35
3,6,7,10,16,30
3,9,10,22,28,33
11,15,21,29,31,36
3,21,25,26,36,37
4,6,17,19,21,36
13,17,21,27,29,31
12,19,21,23,26,35
2,11,16,18,26,36
3,9,21,26,29,37
8,10,14,17,20,34
2,4,24,25,32,34
3,7,15,19,24,33
7,20,26,33,34,35
10,19,20,24,28,33
1,4,6,9,25,35
1,2,3,10,16,29
12,13,28,33,35,37
2,7,12,19,27,37
18,20,25,27,32,36
1,26,28,32,33,35
1,11,15,24,27,34
11,20,21,22,25,36
8,12,13,27,28,34
1,8,12,19,30,35
8,10,12,15,19,30
3,4,7,21,33,37
6,12,13,24,27,29
1,8,9,18,19,20
17,25,29,30,33,37
2,14,27,28,32,34
7,9,13,14,30,33
5,13,19,22,28,33
3,4,26,30,34,37
3,9,13,17,25,37
13,16,24,31,35,36
4,23,25,30,32,35
6,8,14,20,25,29
1,15,17,21,34,37
4,20,21,26,35,37
3,5,10,17,30,32
1,9,11,20,25,27
9,16,18,30,32,33
6,9,13,17,29,34
1,6,14,20,29,36
10,12,26,27,31,36
5,13,14,16,18,21
1,3,11,25,33,34
9,16,17,20,32,33
7,10,12,19,25,36
5,11,12,13,15,20
11,13,18,26,27,36
1,4,5,7,18,23
7,16,28,31,33,35
6,9,24,25,33,34
8,14,18,22,25,31
7,10,17,23,24,31
2,9,15,22,31,33
3,10,11,13,26,37
5,6,9,26,32,35
2,3,6,19,25,27
2,8,12,31,34,35
12,14,19,20,23,25
8,11,25,30,31,33
4,5,21,30,36,37
2,12,13,16,23,25
6,8,14,25,26,31
12,15,24,26,31,33
11,19,21,22,26,30
1,8,10,12,16,26
2,7,10,11,29,32
5,7,14,15,16,35
3,9,15,24,30,35
1,3,7,18,28,34
6,17,22,24,26,31
2,3,6,20,21,30
7,10,11,19,23,25
3,9,14,19,27,31
2,4,7,24,32,36
2,8,16,23,29,36
1,8,20,21,33,37
4,8,27,30,34,36
2,12,20,22,24,32
12,13,16,18,35,37
11,19,22,23,25,36
2,6,12,16,21,26
3,5,10,11,12,21
8,23,26,31,34,35
9,13,21,22,24,31
3,7,15,29,31,34
2,3,18,20,26,35
2,6,19,29,36,37
7,11,26,27,28,34
6,7,17,18,25,35
4,12,16,21,26,30
5,8,25,29,30,31
9,16,21,24,26,33
1,15,21,23,26,36
4,12,19,23,27,31
3,8,30,34,35,36
1,5,11,18,26,30
3,15,26,27,36,37
1,11,21,25,26,31
4,8,21,22,24,29
9,15,25,26,28,32
2,11,12,18,24,26
7,20,23,24,25,36
4,8,14,21,27,37
5,8,11,21,35,37
9,15,25,30,32,33
3,8,9,10,16,36
1,2,14,15,28,31
10,12,18,21,25,35
6,7,11,30,33,35
2,5,14,21,36,37
1,2,3,16,28,30
5,7,11,24,26,30
1,6,25,29,33,34
5,10,12,20,22,31
7,21,26,31,32,35
2,8,12,17,21,24
3,8,10,23,24,34
14,19,30,34,35,36
9,11,21,25,26,32
5,6,7,16,23,36
4,5,18,23,32,36
1,2,3,14,23,29
2,21,22,23,28,30
18,22,25,26,27,33
4,15,17,20,21,25
8,9,19,27,28,33
5,17,19,22,25,32
1,2,9,12,26,29
1,8,21,23,28,32
3,5,7,27,35,36
3,11,12,15,22,33
1,8,14,21,23,31
7,16,17,18,20,36
8,13,15,21,23,26
6,8,9,11,17,31
8,12,13,16,30,37
3,5,12,23,24,32
1,3,5,11,19,24
2,14,15,23,27,31
1,4,14,23,29,30
2,3,10,11,28,34
12,19,23,30,35,37
6,13,14,22,28,29
2,7,8,14,31,34
11,13,24,26,29,34
2,10,14,32,34,36
1,5,11,13,21,35
18,21,22,23,25,36
3,5,7,8,32,37
7,10,22,23,27,36
2,4,25,30,33,37
1,2,17,19,29,32
15,16,17,25,27,30
14,17,29,31,32,35
8,15,20,26,27,34
8,12,18,20,29,32
3,10,15,24,28,37
14,16,27,28,32,36
2,19,22,25,26,28
5,10,14,25,27,33
7,10,16,21,25,28
1,2,20,21,25,28
3,23,25,28,29,33
7,25,27,31,32,34
2,3,8,15,19,34
5,6,7,12,33,36
1,3,13,14,17,36
4,16,21,26,28,30
6,7,22,30,31,36
2,4,5,11,15,24
3,10,23,27,32,37
6,13,15,17,19,35
7,8,20,26,30,34
12,21,25,27,29,31
2,7,10,20,23,32
15,16,20,24,28,35
